inspection_id,receipt_id,inspection_date,inspector_name,defect_rate_pct,defect_type,inspection_result,remarks
QI000027,GR000027,2023-04-19,T. Yamamoto,7.01,Surface,Conditional,Accepted for non-critical applications only.
QI000028,GR000028,2023-04-16,K. Nguyen,3.33,Functional,Pass,
QI000029,GR000029,2023-04-20,D. Müller,1.22,,Pass,
QI000030,GR000030,2023-04-07,M. Weber,5.65,Dimensional,Conditional,Accepted with minor deviations. Supplier warned.
QI000031,GR000031,2023-04-17,A. Patel,4.51,Functional,Pass,
QI000032,GR000032,2023-04-21,M. Weber,1.31,,Pass,
QI000033,GR000033,2023-04-18,S. Tanaka,3.86,Dimensional,Pass,
QI000034,GR000034,2023-05-08,T. Yamamoto,3.45,Missing,Pass,
QI000035,GR000035,2023-04-26,A. Patel,1.6,,Pass,
QI000036,GR000036,2023-04-25,A. Patel,9.52,Surface,Conditional,Accepted for non-critical applications only.
QI000037,GR000037,2023-05-04,M. Weber,25.09,Surface,Fail,Batch rejected due to high defect rate.
QI000038,GR000038,2023-05-07,M. Weber,0.97,,Pass,
QI000039,GR000039,2023-04-27,R. Sharma,5.77,Surface,Conditional,Partial rework needed before use.
QI000040,GR000040,2023-05-12,T. Yamamoto,3.01,Surface,Pass,
QI000041,GR000041,2023-05-05,M. Weber,2.58,Functional,Pass,
QI000042,GR000042,2023-05-07,S. Tanaka,3.06,Missing,Pass,
QI000043,GR000043,2023-05-25,D. Müller,3.49,Functional,Pass,
QI000044,GR000044,2023-05-09,L. Chen,5.42,Dimensional,Conditional,Accepted for non-critical applications only.
QI000045,GR000045,2023-06-09,J. Smith,4.98,Missing,Pass,
QI000046,GR000046,2023-05-22,D. Müller,5.77,Surface,Conditional,Partial rework needed before use.
QI000047,GR000047,2023-05-29,S. Tanaka,26.92,Dimensional,Fail,Quality below acceptable standards. Return to supplier.
QI000048,GR000048,2023-05-21,K. Nguyen,2.83,Other,Pass,
QI000049,GR000049,2023-05-25,T. Yamamoto,4.27,Functional,Pass,
QI000050,GR000050,2023-06-27,J. Smith,25.06,Functional,Fail,Batch rejected due to high defect rate.
QI000051,GR000051,2023-06-05,P. Kumar,1.06,,Pass,
QI000052,GR000052,2023-06-09,K. Nguyen,1.33,,Pass,
QI000053,GR000053,2023-06-01,K. Nguyen,3.14,Other,Pass,
QI000054,GR000054,2023-06-11,T. Yamamoto,4.07,Missing,Pass,
QI000055,GR000055,2023-06-13,S. Tanaka,23.22,Missing,Fail,Quality below acceptable standards. Return to supplier.
QI000056,GR000056,2023-06-11,R. Sharma,5.21,Missing,Conditional,Partial rework needed before use.
QI000057,GR000057,2023-06-12,L. Chen,7.14,Dimensional,Conditional,Partial rework needed before use.
QI000058,GR000058,2023-06-10,K. Nguyen,7.68,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000059,GR000059,2023-06-14,T. Yamamoto,7.46,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000060,GR000060,2023-06-27,R. Sharma,1.91,,Pass,
QI000061,GR000061,2023-06-26,P. Kumar,3.16,Functional,Pass,
QI000062,GR000062,2023-06-28,M. Weber,4.22,Surface,Pass,
QI000063,GR000063,2023-06-17,M. Weber,3.11,Surface,Pass,
QI000064,GR000064,2023-06-21,K. Nguyen,4.06,Surface,Pass,
QI000065,GR000065,2023-07-03,K. Nguyen,6.92,Dimensional,Conditional,Partial rework needed before use.
QI000066,GR000066,2023-07-03,L. Chen,9.51,Other,Conditional,Accepted for non-critical applications only.
QI000067,GR000067,2023-07-04,M. Weber,10.21,Missing,Fail,Non-conformance report raised. Supplier notified.
QI000068,GR000068,2023-07-14,J. Smith,1.67,,Pass,
QI000069,GR000069,2023-07-22,S. Tanaka,0.35,,Pass,
QI000070,GR000070,2023-07-13,D. Müller,6.11,Other,Conditional,Partial rework needed before use.
QI000071,GR000071,2023-07-16,R. Sharma,4.42,Other,Pass,
QI000072,GR000072,2023-07-29,J. Smith,5.26,Functional,Conditional,Partial rework needed before use.
QI000073,GR000073,2023-07-21,L. Chen,1.01,,Pass,
QI000074,GR000074,2023-08-06,R. Sharma,5.52,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000075,GR000075,2023-08-07,L. Chen,0.93,,Pass,
QI000076,GR000076,2023-08-18,L. Chen,3.98,Functional,Pass,
QI000077,GR000077,2023-08-02,L. Chen,9.93,Dimensional,Conditional,Partial rework needed before use.
QI000078,GR000078,2023-08-05,P. Kumar,3.79,Dimensional,Pass,
QI000079,GR000079,2023-08-04,L. Chen,3.42,Dimensional,Pass,
QI000080,GR000080,2023-08-18,K. Nguyen,1.09,,Pass,
QI000081,GR000081,2023-08-10,L. Chen,22.61,Dimensional,Fail,Non-conformance report raised. Supplier notified.
QI000082,GR000082,2023-09-03,T. Yamamoto,18.65,Functional,Fail,Batch rejected due to high defect rate.
QI000083,GR000083,2023-08-12,J. Smith,7.36,Functional,Conditional,Partial rework needed before use.
QI000084,GR000084,2023-08-11,D. Müller,7.8,Surface,Conditional,Partial rework needed before use.
QI000085,GR000085,2023-08-17,J. Smith,7.09,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000086,GR000086,2023-08-21,T. Yamamoto,5.95,Surface,Conditional,Accepted for non-critical applications only.
QI000087,GR000087,2023-09-02,S. Tanaka,4.18,Missing,Pass,
QI000088,GR000088,2023-08-26,T. Yamamoto,7.08,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000089,GR000089,2023-08-23,R. Sharma,2.77,Functional,Pass,
QI000090,GR000090,2023-08-25,R. Sharma,2.25,Missing,Pass,
QI000091,GR000091,2023-08-18,A. Patel,3.08,Other,Pass,
QI000092,GR000092,2023-08-24,L. Chen,1.26,,Pass,
QI000093,GR000093,2023-08-26,K. Nguyen,1.59,,Pass,
QI000094,GR000094,2023-08-26,P. Kumar,5.43,Functional,Conditional,Partial rework needed before use.
QI000095,GR000095,2023-08-30,T. Yamamoto,2.71,Other,Pass,
QI000096,GR000096,2023-09-03,R. Sharma,9.26,Functional,Conditional,Partial rework needed before use.
QI000097,GR000097,2023-09-01,D. Müller,7.84,Dimensional,Conditional,Partial rework needed before use.
QI000098,GR000098,2023-09-02,S. Tanaka,1.55,,Pass,
QI000099,GR000099,2023-09-30,S. Tanaka,1.16,,Pass,
QI000100,GR000100,2023-09-21,M. Weber,6.2,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000101,GR000101,2023-09-25,D. Müller,1.99,,Pass,
QI000102,GR000102,2023-09-19,T. Yamamoto,6.56,Dimensional,Conditional,Partial rework needed before use.
QI000103,GR000103,2023-09-18,K. Nguyen,6.33,Functional,Conditional,Accepted for non-critical applications only.
QI000104,GR000104,2023-10-06,S. Tanaka,5.7,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000105,GR000105,2023-09-17,K. Nguyen,3.85,Missing,Pass,
QI000106,GR000106,2023-09-26,A. Patel,4.24,Functional,Pass,
QI000107,GR000107,2023-09-23,M. Weber,1.13,,Pass,
QI000108,GR000108,2023-10-01,P. Kumar,3.01,Other,Pass,
QI000109,GR000109,2023-10-01,P. Kumar,5.44,Other,Conditional,Partial rework needed before use.
QI000110,GR000110,2023-10-01,J. Smith,1.09,,Pass,
QI000111,GR000111,2023-10-11,M. Weber,4.11,Missing,Pass,
QI000112,GR000112,2023-10-11,L. Chen,2.19,Functional,Pass,
QI000113,GR000113,2023-10-20,J. Smith,6.97,Missing,Conditional,Accepted for non-critical applications only.
QI000114,GR000114,2023-10-22,S. Tanaka,6.24,Functional,Conditional,Partial rework needed before use.
QI000115,GR000115,2023-10-30,K. Nguyen,4.16,Dimensional,Pass,
QI000116,GR000116,2023-11-17,L. Chen,2.17,Other,Pass,
QI000117,GR000117,2023-11-02,P. Kumar,6.35,Other,Conditional,Accepted for non-critical applications only.
QI000118,GR000118,2023-11-09,L. Chen,3.63,Surface,Pass,
QI000119,GR000119,2023-11-11,M. Weber,6.95,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000120,GR000120,2023-11-16,K. Nguyen,9.85,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000121,GR000121,2023-11-09,J. Smith,7.89,Other,Conditional,Partial rework needed before use.
QI000122,GR000122,2023-11-20,S. Tanaka,0.89,,Pass,
QI000123,GR000123,2023-11-18,M. Weber,22.36,Functional,Fail,Non-conformance report raised. Supplier notified.
QI000124,GR000124,2023-11-15,P. Kumar,4.46,Functional,Pass,
QI000125,GR000125,2023-11-15,D. Müller,7.11,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000126,GR000126,2023-11-30,A. Patel,6.34,Surface,Conditional,Accepted for non-critical applications only.
QI000127,GR000127,2023-11-21,R. Sharma,5.57,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000128,GR000128,2023-12-10,D. Müller,1.97,,Pass,
QI000129,GR000129,2023-11-30,L. Chen,1.24,,Pass,
QI000130,GR000130,2023-11-26,T. Yamamoto,3.28,Surface,Pass,
QI000131,GR000131,2023-12-20,D. Müller,26.21,Dimensional,Fail,Non-conformance report raised. Supplier notified.
QI000132,GR000132,2023-12-03,J. Smith,8.65,Surface,Conditional,Partial rework needed before use.
QI000133,GR000133,2023-11-26,J. Smith,2.68,Surface,Pass,
QI000134,GR000134,2023-12-09,M. Weber,1.45,,Pass,
QI000135,GR000135,2023-12-13,P. Kumar,4.21,Other,Pass,
QI000136,GR000136,2024-01-07,A. Patel,6.58,Other,Conditional,Accepted for non-critical applications only.
QI000137,GR000137,2024-01-03,M. Weber,1.69,,Pass,
QI000138,GR000138,2024-01-04,R. Sharma,1.93,,Pass,
QI000139,GR000139,2024-01-17,L. Chen,3.84,Missing,Pass,
QI000140,GR000140,2024-01-20,T. Yamamoto,23.01,Other,Fail,Batch rejected due to high defect rate.
QI000141,GR000141,2024-01-05,P. Kumar,4.74,Missing,Pass,
QI000142,GR000142,2024-01-06,R. Sharma,1.42,,Pass,
QI000143,GR000143,2024-01-22,A. Patel,6.02,Missing,Conditional,Partial rework needed before use.
QI000144,GR000144,2024-02-04,K. Nguyen,6.93,Dimensional,Conditional,Accepted for non-critical applications only.
QI000145,GR000145,2024-01-26,M. Weber,5.6,Surface,Conditional,Partial rework needed before use.
QI000146,GR000146,2024-02-01,P. Kumar,3.31,Dimensional,Pass,
QI000147,GR000147,2024-01-26,J. Smith,4.44,Functional,Pass,
QI000148,GR000148,2024-02-03,T. Yamamoto,4.11,Functional,Pass,
QI000149,GR000149,2024-02-08,K. Nguyen,1.25,,Pass,
QI000150,GR000150,2024-02-22,T. Yamamoto,1.18,,Pass,
QI000151,GR000151,2024-02-17,T. Yamamoto,3.04,Surface,Pass,
QI000152,GR000152,2024-03-10,K. Nguyen,4.33,Functional,Pass,
QI000153,GR000153,2024-02-20,L. Chen,26.34,Other,Fail,Critical defects found. Full batch inspection required.
QI000154,GR000154,2024-02-23,S. Tanaka,2.6,Other,Pass,
QI000155,GR000155,2024-02-24,D. Müller,1.08,,Pass,
QI000156,GR000156,2024-03-11,J. Smith,29.95,Missing,Fail,Quality below acceptable standards. Return to supplier.
QI000157,GR000157,2024-03-18,D. Müller,7.97,Other,Conditional,Partial rework needed before use.
QI000158,GR000158,2024-03-24,P. Kumar,7.06,Surface,Conditional,Accepted for non-critical applications only.
QI000159,GR000159,2024-03-23,M. Weber,7.28,Dimensional,Conditional,Partial rework needed before use.
QI000160,GR000160,2024-03-17,A. Patel,2.57,Other,Pass,
QI000161,GR000161,2024-03-25,R. Sharma,3.5,Other,Pass,
QI000162,GR000162,2024-03-27,M. Weber,6.92,Surface,Conditional,Accepted for non-critical applications only.
QI000163,GR000163,2024-03-30,A. Patel,1.23,,Pass,
QI000164,GR000164,2024-04-12,D. Müller,4.55,Other,Pass,
QI000165,GR000165,2024-04-21,P. Kumar,4.76,Dimensional,Pass,
QI000166,GR000166,2024-04-08,M. Weber,2.74,Surface,Pass,
QI000167,GR000167,2024-04-12,S. Tanaka,6.02,Dimensional,Conditional,Accepted for non-critical applications only.
QI000168,GR000168,2024-04-20,A. Patel,1.64,,Pass,
QI000169,GR000169,2024-04-26,R. Sharma,1.93,,Pass,
QI000170,GR000170,2024-04-28,P. Kumar,6.86,Other,Conditional,Accepted for non-critical applications only.
QI000171,GR000171,2024-05-09,M. Weber,24.44,Functional,Fail,Batch rejected due to high defect rate.
QI000172,GR000172,2024-05-10,A. Patel,4.09,Surface,Pass,
QI000173,GR000173,2024-04-29,T. Yamamoto,20.58,Functional,Fail,Batch rejected due to high defect rate.
QI000174,GR000174,2024-05-02,M. Weber,7.33,Missing,Conditional,Accepted for non-critical applications only.
QI000175,GR000175,2024-05-05,L. Chen,5.44,Dimensional,Conditional,Partial rework needed before use.
QI000176,GR000176,2024-05-02,D. Müller,4.45,Functional,Pass,
QI000177,GR000177,2024-05-05,S. Tanaka,2.99,Functional,Pass,
QI000178,GR000178,2024-05-10,D. Müller,0.57,,Pass,
QI000179,GR000179,2024-05-25,R. Sharma,25.51,Surface,Fail,Non-conformance report raised. Supplier notified.
QI000180,GR000180,2024-05-20,K. Nguyen,7.82,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000181,GR000181,2024-05-17,P. Kumar,4.02,Dimensional,Pass,
QI000182,GR000182,2024-05-30,M. Weber,5.81,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000183,GR000183,2024-05-24,P. Kumar,4.51,Other,Pass,
QI000184,GR000184,2024-05-20,T. Yamamoto,3.1,Surface,Pass,
QI000185,GR000185,2024-05-18,K. Nguyen,3.27,Missing,Pass,
QI000186,GR000186,2024-05-21,J. Smith,1.26,,Pass,
QI000187,GR000187,2024-05-17,S. Tanaka,7.87,Other,Conditional,Partial rework needed before use.
QI000188,GR000188,2024-05-25,K. Nguyen,2.84,Functional,Pass,
QI000189,GR000189,2024-05-21,S. Tanaka,6.09,Functional,Conditional,Partial rework needed before use.
QI000190,GR000190,2024-06-01,R. Sharma,0.85,,Pass,
QI000191,GR000191,2024-06-16,P. Kumar,22.85,Functional,Fail,Quality below acceptable standards. Return to supplier.
QI000192,GR000192,2024-06-04,M. Weber,1.14,,Pass,
QI000193,GR000193,2024-05-29,J. Smith,6.02,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000194,GR000194,2024-06-09,M. Weber,3.68,Other,Pass,
QI000195,GR000195,2024-06-18,A. Patel,5.32,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000196,GR000196,2024-06-02,P. Kumar,3.28,Other,Pass,
QI000197,GR000197,2024-06-17,P. Kumar,7.63,Missing,Conditional,Accepted for non-critical applications only.
QI000198,GR000198,2024-06-22,A. Patel,7.91,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000199,GR000199,2024-06-22,P. Kumar,3.4,Functional,Pass,
QI000200,GR000200,2024-06-17,A. Patel,1.78,,Pass,
QI000201,GR000201,2024-06-25,T. Yamamoto,6.43,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000202,GR000202,2024-06-30,M. Weber,2.4,Missing,Pass,
QI000203,GR000203,2024-06-28,D. Müller,4.83,Functional,Pass,
QI000204,GR000204,2024-06-27,A. Patel,3.04,Surface,Pass,
QI000205,GR000205,2024-07-10,P. Kumar,5.89,Functional,Conditional,Partial rework needed before use.
QI000206,GR000206,2024-07-09,M. Weber,2.5,Missing,Pass,
QI000207,GR000207,2024-07-05,S. Tanaka,3.33,Functional,Pass,
QI000208,GR000208,2024-07-06,L. Chen,7.53,Dimensional,Conditional,Accepted for non-critical applications only.
QI000209,GR000209,2024-07-24,D. Müller,6.64,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000210,GR000210,2024-07-21,J. Smith,4.96,Other,Pass,
QI000211,GR000211,2024-07-24,A. Patel,4.44,Functional,Pass,
QI000212,GR000212,2024-07-25,D. Müller,4.96,Dimensional,Pass,
QI000213,GR000213,2024-07-24,T. Yamamoto,1.08,,Pass,
QI000214,GR000214,2024-08-03,L. Chen,5.27,Dimensional,Conditional,Accepted for non-critical applications only.
QI000215,GR000215,2024-07-23,J. Smith,4.26,Surface,Pass,
QI000216,GR000216,2024-08-07,R. Sharma,25.77,Missing,Fail,Non-conformance report raised. Supplier notified.
QI000217,GR000217,2024-07-29,R. Sharma,3.06,Missing,Pass,
QI000218,GR000218,2024-08-08,M. Weber,3.26,Functional,Pass,
QI000219,GR000219,2024-07-25,M. Weber,6.37,Missing,Conditional,Accepted for non-critical applications only.
QI000220,GR000220,2024-07-24,M. Weber,5.02,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000221,GR000221,2024-08-14,R. Sharma,2.44,Dimensional,Pass,
QI000222,GR000222,2024-08-12,J. Smith,7.61,Surface,Conditional,Accepted for non-critical applications only.
QI000223,GR000223,2024-08-12,M. Weber,0.72,,Pass,
QI000224,GR000224,2024-08-09,S. Tanaka,2.41,Missing,Pass,
QI000225,GR000225,2024-08-06,R. Sharma,1.85,,Pass,
QI000226,GR000226,2024-08-04,R. Sharma,7.29,Dimensional,Conditional,Partial rework needed before use.
QI000227,GR000227,2024-07-30,R. Sharma,6.21,Surface,Conditional,Partial rework needed before use.
QI000228,GR000228,2024-08-15,T. Yamamoto,3.79,Missing,Pass,
QI000229,GR000229,2024-08-08,D. Müller,1.65,,Pass,
QI000230,GR000230,2024-08-28,A. Patel,26.69,Surface,Fail,Quality below acceptable standards. Return to supplier.
QI000231,GR000231,2024-08-17,M. Weber,6.18,Functional,Conditional,Partial rework needed before use.
QI000232,GR000232,2024-08-07,J. Smith,1.64,,Pass,
QI000233,GR000233,2024-08-22,R. Sharma,4.56,Dimensional,Pass,
QI000234,GR000234,2024-08-18,J. Smith,3.94,Functional,Pass,
QI000235,GR000235,2024-09-04,A. Patel,28.04,Functional,Fail,Quality below acceptable standards. Return to supplier.
QI000236,GR000236,2024-08-30,J. Smith,27.72,Dimensional,Fail,Critical defects found. Full batch inspection required.
QI000237,GR000237,2024-08-13,K. Nguyen,6.93,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000238,GR000238,2024-08-28,R. Sharma,1.98,,Pass,
QI000239,GR000239,2024-09-12,T. Yamamoto,6.62,Functional,Conditional,Partial rework needed before use.
QI000240,GR000240,2024-09-06,K. Nguyen,6.33,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000241,GR000241,2024-09-23,A. Patel,7.76,Surface,Conditional,Partial rework needed before use.
QI000242,GR000242,2024-09-06,S. Tanaka,1.21,,Pass,
QI000243,GR000243,2024-09-08,J. Smith,3.61,Other,Pass,
QI000244,GR000244,2024-09-11,P. Kumar,1.18,,Pass,
QI000245,GR000245,2024-10-01,L. Chen,7.1,Dimensional,Conditional,Accepted for non-critical applications only.
QI000246,GR000246,2024-09-21,R. Sharma,6.06,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000247,GR000247,2024-09-20,A. Patel,2.56,Dimensional,Pass,
QI000248,GR000248,2024-10-02,P. Kumar,4.25,Other,Pass,
QI000249,GR000249,2024-09-18,P. Kumar,5.22,Dimensional,Conditional,Partial rework needed before use.
QI000250,GR000250,2024-09-22,D. Müller,7.32,Functional,Conditional,Accepted for non-critical applications only.
QI000251,GR000251,2024-10-10,P. Kumar,25.36,Dimensional,Fail,Non-conformance report raised. Supplier notified.
QI000252,GR000252,2024-09-28,K. Nguyen,1.72,,Pass,
QI000253,GR000253,2024-10-06,M. Weber,1.91,,Pass,
QI000254,GR000254,2024-09-22,T. Yamamoto,6.2,Missing,Conditional,Partial rework needed before use.
QI000255,GR000255,2024-09-24,J. Smith,2.58,Functional,Pass,
QI000256,GR000256,2024-10-08,D. Müller,4.24,Other,Pass,
QI000257,GR000257,2024-10-07,J. Smith,7.19,Functional,Conditional,Partial rework needed before use.
QI000258,GR000258,2024-10-10,R. Sharma,5.06,Missing,Conditional,Accepted for non-critical applications only.
QI000259,GR000259,2024-11-03,R. Sharma,7.86,Surface,Conditional,Accepted for non-critical applications only.
QI000260,GR000260,2024-10-13,R. Sharma,2.66,Functional,Pass,
QI000261,GR000261,2024-10-18,T. Yamamoto,4.39,Surface,Pass,
QI000262,GR000262,2024-10-09,D. Müller,7.95,Other,Conditional,Partial rework needed before use.
QI000263,GR000263,2024-10-12,J. Smith,6.21,Other,Conditional,Partial rework needed before use.
QI000264,GR000264,2024-10-19,D. Müller,2.3,Missing,Pass,
QI000265,GR000265,2024-11-09,A. Patel,19.16,Other,Fail,Critical defects found. Full batch inspection required.
QI000266,GR000266,2024-11-04,K. Nguyen,3.99,Other,Pass,
QI000267,GR000267,2024-11-06,S. Tanaka,7.83,Dimensional,Conditional,Accepted for non-critical applications only.
QI000268,GR000268,2024-11-05,L. Chen,0.76,,Pass,
QI000269,GR000269,2024-11-05,D. Müller,7.58,Surface,Conditional,Partial rework needed before use.
QI000270,GR000270,2024-11-19,J. Smith,6.88,Dimensional,Conditional,Accepted with minor deviations. Supplier warned.
QI000271,GR000271,2024-11-13,R. Sharma,6.46,Other,Conditional,Accepted for non-critical applications only.
QI000272,GR000272,2024-12-07,J. Smith,22.35,Other,Fail,Quality below acceptable standards. Return to supplier.
QI000273,GR000273,2024-11-30,K. Nguyen,5.76,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000274,GR000274,2024-12-31,R. Sharma,29.46,Surface,Fail,Critical defects found. Full batch inspection required.
QI000275,GR000275,2024-12-15,L. Chen,7.64,Missing,Conditional,Accepted for non-critical applications only.
QI000276,GR000276,2024-12-20,R. Sharma,4.28,Functional,Pass,
QI000277,GR000277,2024-12-17,T. Yamamoto,5.96,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000278,GR000278,2024-12-21,K. Nguyen,5.74,Dimensional,Conditional,Partial rework needed before use.
QI000279,GR000279,2024-12-26,L. Chen,6.76,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000280,GR000280,2025-01-03,M. Weber,2.35,Dimensional,Pass,
QI000281,GR000281,2024-12-28,T. Yamamoto,2.93,Dimensional,Pass,
QI000282,GR000282,2025-01-02,S. Tanaka,2.06,Surface,Pass,
QI000283,GR000283,2025-01-03,D. Müller,1.08,,Pass,
QI000284,GR000284,2025-01-06,T. Yamamoto,1.72,,Pass,
QI000285,GR000285,2025-01-04,T. Yamamoto,5.62,Dimensional,Conditional,Accepted for non-critical applications only.
QI000286,GR000286,2024-12-29,J. Smith,1.49,,Pass,
QI000287,GR000287,2025-01-16,A. Patel,7.65,Missing,Conditional,Partial rework needed before use.
QI000288,GR000288,2025-01-11,S. Tanaka,3.98,Missing,Pass,
QI000289,GR000289,2025-01-20,T. Yamamoto,4.77,Dimensional,Pass,
QI000290,GR000290,2025-01-28,L. Chen,7.06,Missing,Conditional,Accepted for non-critical applications only.
QI000291,GR000291,2025-02-05,D. Müller,25.66,Functional,Fail,Critical defects found. Full batch inspection required.
QI000292,GR000292,2025-01-24,R. Sharma,5.67,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000293,GR000293,2025-02-03,M. Weber,6.64,Other,Conditional,Partial rework needed before use.
QI000294,GR000294,2025-02-02,T. Yamamoto,5.66,Missing,Conditional,Accepted for non-critical applications only.
QI000295,GR000295,2025-02-11,R. Sharma,3.63,Missing,Pass,
QI000296,GR000296,2025-02-15,A. Patel,5.13,Dimensional,Conditional,Accepted for non-critical applications only.
QI000297,GR000297,2025-02-15,L. Chen,27.17,Other,Fail,Non-conformance report raised. Supplier notified.
QI000298,GR000298,2025-02-04,P. Kumar,1.28,,Pass,
QI000299,GR000299,2025-02-24,L. Chen,5.01,Dimensional,Conditional,Partial rework needed before use.
QI000300,GR000300,2025-02-17,K. Nguyen,1.18,,Pass,
QI000301,GR000301,2025-02-11,R. Sharma,7.62,Functional,Conditional,Partial rework needed before use.
QI000302,GR000302,2025-02-23,J. Smith,6.95,Functional,Conditional,Accepted for non-critical applications only.
QI000303,GR000303,2025-02-28,J. Smith,7.76,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000304,GR000304,2025-03-10,D. Müller,7.94,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000305,GR000305,2025-03-04,J. Smith,4.83,Missing,Pass,
QI000306,GR000306,2025-02-24,J. Smith,2.2,Dimensional,Pass,
QI000307,GR000307,2025-03-03,S. Tanaka,4.77,Functional,Pass,
QI000308,GR000308,2025-03-11,T. Yamamoto,6.05,Missing,Conditional,Partial rework needed before use.
QI000309,GR000309,2025-03-15,S. Tanaka,2.3,Surface,Pass,
QI000310,GR000310,2025-02-26,J. Smith,4.4,Missing,Pass,
QI000311,GR000311,2025-03-14,M. Weber,7.72,Dimensional,Conditional,Accepted with minor deviations. Supplier warned.
QI000312,GR000312,2025-03-28,D. Müller,7.36,Other,Conditional,Partial rework needed before use.
QI000313,GR000313,2025-04-12,M. Weber,3.79,Dimensional,Pass,
QI000314,GR000314,2025-04-12,K. Nguyen,5.98,Missing,Conditional,Partial rework needed before use.
QI000315,GR000315,2025-04-09,A. Patel,24.39,Surface,Fail,Non-conformance report raised. Supplier notified.
QI000316,GR000316,2025-04-01,A. Patel,6.15,Other,Conditional,Accepted for non-critical applications only.
QI000317,GR000317,2025-04-13,D. Müller,2.57,Surface,Pass,
QI000318,GR000318,2025-04-08,P. Kumar,4.15,Dimensional,Pass,
QI000319,GR000319,2025-04-17,P. Kumar,5.87,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000320,GR000320,2025-04-23,M. Weber,2.51,Functional,Pass,
