comm_id,supplier_id,comm_date,channel,subject,priority,response_time_hours,resolved
CM000057,SUP009,2024-01-21,Email,Delivery Status Update,Critical,29.9,Yes
CM000058,SUP018,2025-09-27,Meeting,Compliance Audit Follow-up,Low,22.1,Yes
CM000059,SUP016,2026-01-20,Call,Invoice Discrepancy,High,16.2,Yes
CM000060,SUP014,2023-12-23,Email,Invoice Discrepancy,High,144.9,Yes
CM000061,SUP014,2025-01-07,Email,Shipment Delay Notification,High,86.2,Yes
CM000062,SUP028,2023-12-03,Email,Feedback on Last Shipment,High,24.1,Yes
CM000063,SUP027,2023-11-23,Call,Emergency Supply Request,High,22.1,Yes
CM000064,SUP029,2023-08-18,Call,Material Specification Change,Low,39.5,Yes
CM000065,SUP006,2024-04-09,Meeting,SLA Review Meeting,Low,30.9,Yes
CM000066,SUP013,2025-12-07,Email,Urgent Stock Request,Normal,17.0,Yes
CM000067,SUP021,2025-07-18,Call,Capacity Planning,Normal,,No
CM000068,SUP005,2023-05-28,Email,Capacity Planning,Normal,12.7,Yes
CM000069,SUP027,2024-01-27,Email,Quality Concern,Normal,14.6,Yes
CM000070,SUP015,2023-09-01,Email,New Order Requirements,Low,13.1,Yes
CM000071,SUP010,2025-05-27,Call,Feedback on Last Shipment,Normal,8.6,Yes
CM000072,SUP002,2025-10-20,Email,Compliance Audit Follow-up,Normal,35.7,Yes
CM000073,SUP014,2024-12-19,Call,Delivery Status Update,Normal,,No
CM000074,SUP003,2025-08-30,Email,Contract Renewal Discussion,High,3.6,Yes
CM000075,SUP024,2024-11-21,Portal,Delivery Status Update,Normal,25.2,Yes
CM000076,SUP020,2025-04-20,Call,Urgent Stock Request,High,32.1,Yes
CM000077,SUP017,2024-01-07,Call,New Order Requirements,High,20.5,Yes
CM000078,SUP004,2025-11-24,Portal,Shipment Delay Notification,High,21.5,Yes
CM000079,SUP022,2023-11-14,Email,SLA Review Meeting,Normal,37.7,Yes
CM000080,SUP029,2023-12-28,Email,Price Renegotiation,Normal,,No
CM000081,SUP019,2025-10-07,Email,Compliance Audit Follow-up,Critical,5.9,Yes
CM000082,SUP020,2026-02-26,Call,Capacity Planning,High,24.8,Yes
CM000083,SUP021,2026-01-18,Call,Shipment Delay Notification,Normal,44.2,Yes
CM000084,SUP022,2025-01-02,Call,Contract Renewal Discussion,Critical,,No
CM000085,SUP004,2023-02-19,Call,Payment Terms Discussion,Normal,22.7,Yes
CM000086,SUP016,2023-05-17,Call,Urgent Stock Request,Normal,7.4,Yes
CM000087,SUP005,2025-03-11,Email,Capacity Planning,Low,12.9,Yes
CM000088,SUP010,2023-10-08,Email,Contract Renewal Discussion,High,10.7,Yes
CM000089,SUP016,2024-03-14,Email,Payment Terms Discussion,Normal,,No
CM000090,SUP003,2023-10-27,Portal,Price Renegotiation,High,3.8,Yes
CM000091,SUP019,2023-12-04,Meeting,Emergency Supply Request,Normal,,No
CM000092,SUP027,2024-06-21,Meeting,Delivery Status Update,High,5.7,Yes
CM000093,SUP030,2025-02-04,Call,Emergency Supply Request,Normal,,No
CM000094,SUP016,2025-11-09,Call,Capacity Planning,Normal,20.6,Yes
CM000095,SUP003,2025-06-05,Email,Material Specification Change,Low,,No
CM000096,SUP005,2023-03-23,Email,SLA Review Meeting,High,,No
CM000097,SUP011,2024-09-13,Call,Feedback on Last Shipment,Normal,,No
CM000098,SUP017,2025-09-25,Portal,Compliance Audit Follow-up,Normal,28.4,Yes
CM000099,SUP026,2026-03-21,Email,Compliance Audit Follow-up,Normal,23.2,Yes
CM000100,SUP009,2024-07-03,Portal,Urgent Stock Request,Normal,46.4,Yes
CM000101,SUP019,2024-01-27,Email,Emergency Supply Request,Normal,14.2,Yes
CM000102,SUP022,2024-01-21,Portal,Price Renegotiation,High,12.0,Yes
CM000103,SUP023,2026-01-16,Email,SLA Review Meeting,Normal,37.4,Yes
CM000104,SUP021,2024-05-20,Meeting,Emergency Supply Request,Normal,,No
CM000105,SUP012,2024-05-18,Meeting,Feedback on Last Shipment,Normal,9.6,Yes
CM000106,SUP009,2023-09-12,Meeting,New Order Requirements,Low,48.4,Yes
CM000107,SUP015,2026-02-01,Email,Urgent Stock Request,Normal,39.9,Yes
CM000108,SUP016,2023-08-10,Email,Quality Concern,Low,42.3,Yes
CM000109,SUP002,2023-05-24,Call,Shipment Delay Notification,Low,25.6,Yes
CM000110,SUP002,2026-03-06,Email,Urgent Stock Request,High,8.4,Yes
CM000111,SUP020,2026-03-14,Portal,Invoice Discrepancy,High,17.7,Yes
CM000112,SUP008,2023-12-18,Meeting,Contract Renewal Discussion,Normal,9.8,Yes
CM000113,SUP020,2024-07-06,Email,Contract Renewal Discussion,High,12.5,Yes
CM000114,SUP006,2024-03-27,Email,Payment Terms Discussion,Normal,20.6,Yes
CM000115,SUP007,2024-04-20,Email,Compliance Audit Follow-up,Normal,154.8,Yes
CM000116,SUP001,2026-01-13,Email,Payment Terms Discussion,Normal,2.1,Yes
CM000117,SUP016,2025-11-05,Meeting,Urgent Stock Request,Normal,8.7,Yes
CM000118,SUP022,2025-02-12,Email,Contract Renewal Discussion,Normal,9.5,Yes
CM000119,SUP008,2025-02-16,Call,Delivery Status Update,High,13.9,Yes
CM000120,SUP023,2023-02-14,Email,New Order Requirements,Low,16.9,Yes
CM000121,SUP014,2024-06-06,Email,Feedback on Last Shipment,Critical,108.4,Yes
CM000122,SUP020,2025-12-23,Meeting,New Order Requirements,Normal,9.7,Yes
CM000123,SUP003,2026-02-06,Email,Feedback on Last Shipment,Normal,1.3,Yes
CM000124,SUP028,2024-01-16,Email,Material Specification Change,Low,,No
CM000125,SUP020,2023-04-17,Meeting,Emergency Supply Request,Critical,,No
CM000126,SUP006,2024-08-13,Portal,Feedback on Last Shipment,Normal,38.3,Yes
CM000127,SUP003,2023-05-18,Email,Capacity Planning,Normal,3.0,Yes
CM000128,SUP024,2024-01-02,Portal,Contract Renewal Discussion,High,7.3,Yes
CM000129,SUP027,2023-02-12,Portal,New Order Requirements,Low,5.7,Yes
CM000130,SUP028,2025-01-22,Email,Contract Renewal Discussion,Normal,17.8,Yes
CM000131,SUP020,2023-03-28,Email,Delivery Status Update,Normal,24.7,Yes
CM000132,SUP018,2026-01-13,Portal,SLA Review Meeting,Critical,,No
CM000133,SUP012,2026-03-28,Meeting,Capacity Planning,Normal,,No
CM000134,SUP006,2025-10-27,Email,Delivery Status Update,Normal,12.6,Yes
CM000135,SUP020,2025-04-24,Email,Delivery Status Update,Normal,4.2,Yes
CM000136,SUP021,2023-10-29,Call,Capacity Planning,High,,No
CM000137,SUP008,2025-06-18,Email,Compliance Audit Follow-up,Normal,,No
CM000138,SUP015,2023-09-25,Email,Price Renegotiation,High,,No
CM000139,SUP010,2025-02-05,Email,SLA Review Meeting,Critical,,No
CM000140,SUP028,2025-06-06,Email,Emergency Supply Request,Normal,46.4,Yes
CM000141,SUP016,2023-05-19,Email,Feedback on Last Shipment,Normal,9.0,Yes
CM000142,SUP018,2024-07-06,Call,Payment Terms Discussion,Normal,22.0,Yes
CM000143,SUP015,2024-12-11,Email,Delivery Status Update,High,40.6,Yes
CM000144,SUP014,2025-11-18,Meeting,Compliance Audit Follow-up,High,78.4,Yes
CM000145,SUP011,2025-06-19,Call,Price Renegotiation,Low,,No
CM000146,SUP003,2025-02-25,Email,Delivery Status Update,Normal,,No
CM000147,SUP007,2025-05-06,Email,Emergency Supply Request,High,,No
CM000148,SUP003,2023-12-01,Email,SLA Review Meeting,High,2.5,Yes
CM000149,SUP022,2025-10-07,Call,Capacity Planning,High,47.7,Yes
CM000150,SUP009,2026-03-27,Portal,Emergency Supply Request,High,9.5,Yes
CM000151,SUP022,2025-12-01,Meeting,Capacity Planning,High,4.6,Yes
CM000152,SUP011,2025-11-08,Portal,New Order Requirements,Low,22.5,Yes
CM000153,SUP027,2023-10-31,Meeting,Contract Renewal Discussion,High,47.0,Yes
CM000154,SUP023,2026-01-15,Email,New Order Requirements,Normal,4.4,Yes
CM000155,SUP016,2023-05-16,Portal,Delivery Status Update,Normal,8.7,Yes
CM000156,SUP001,2024-11-14,Email,Contract Renewal Discussion,Normal,,No
CM000157,SUP030,2025-03-22,Email,Emergency Supply Request,Normal,24.9,Yes
CM000158,SUP020,2024-10-31,Portal,Quality Concern,Low,4.4,Yes
CM000159,SUP016,2023-07-09,Meeting,Compliance Audit Follow-up,Normal,,No
CM000160,SUP001,2025-08-23,Email,Emergency Supply Request,Normal,3.0,Yes
CM000161,SUP019,2023-06-29,Portal,Invoice Discrepancy,Low,,No
CM000162,SUP003,2023-03-22,Meeting,Contract Renewal Discussion,High,,No
CM000163,SUP027,2025-10-01,Call,Urgent Stock Request,High,15.1,Yes
CM000164,SUP015,2024-06-16,Meeting,Material Specification Change,Low,13.9,Yes
CM000165,SUP028,2024-11-24,Call,Capacity Planning,Normal,,No
CM000166,SUP010,2024-08-24,Call,Emergency Supply Request,Normal,17.5,Yes
CM000167,SUP010,2024-10-30,Email,SLA Review Meeting,Low,10.1,Yes
CM000168,SUP004,2023-10-30,Email,Price Renegotiation,High,12.0,Yes
CM000169,SUP008,2025-09-13,Email,Payment Terms Discussion,High,21.9,Yes
CM000170,SUP023,2024-03-05,Call,Invoice Discrepancy,Normal,3.2,Yes
CM000171,SUP028,2024-05-31,Meeting,SLA Review Meeting,High,22.0,Yes
CM000172,SUP005,2024-10-31,Meeting,Payment Terms Discussion,Normal,,No
CM000173,SUP019,2024-01-12,Meeting,Shipment Delay Notification,Normal,23.1,Yes
CM000174,SUP029,2023-10-15,Call,Shipment Delay Notification,Critical,22.1,Yes
CM000175,SUP021,2025-01-08,Meeting,Invoice Discrepancy,Normal,,No
CM000176,SUP005,2024-11-11,Portal,Compliance Audit Follow-up,Normal,48.5,Yes
CM000177,SUP020,2024-02-07,Portal,Capacity Planning,Low,,No
CM000178,SUP019,2026-01-25,Portal,SLA Review Meeting,Low,19.2,Yes
CM000179,SUP026,2023-05-09,Portal,Feedback on Last Shipment,Normal,,No
CM000180,SUP019,2024-04-17,Meeting,Contract Renewal Discussion,Normal,13.4,Yes
CM000181,SUP008,2024-06-04,Email,Contract Renewal Discussion,Low,,No
CM000182,SUP015,2024-05-04,Email,Quality Concern,High,31.5,Yes
CM000183,SUP014,2023-02-03,Portal,Capacity Planning,High,126.7,Yes
CM000184,SUP019,2024-03-13,Call,Capacity Planning,Low,37.8,Yes
CM000185,SUP011,2023-12-29,Email,Payment Terms Discussion,Normal,11.6,Yes
CM000186,SUP004,2023-09-23,Meeting,Price Renegotiation,High,24.3,Yes
CM000187,SUP007,2023-12-02,Meeting,Shipment Delay Notification,Normal,55.9,Yes
CM000188,SUP028,2023-09-06,Email,Contract Renewal Discussion,Low,21.8,Yes
CM000189,SUP006,2023-08-21,Email,Material Specification Change,High,11.8,Yes
CM000190,SUP022,2024-07-23,Email,Quality Concern,Normal,14.5,Yes
CM000191,SUP024,2023-02-07,Call,Capacity Planning,High,,No
CM000192,SUP006,2023-10-26,Call,Compliance Audit Follow-up,Normal,38.0,Yes
CM000193,SUP001,2024-11-27,Meeting,New Order Requirements,Low,2.4,Yes
CM000194,SUP007,2025-09-17,Meeting,Quality Concern,Critical,160.7,Yes
CM000195,SUP018,2025-07-26,Call,Contract Renewal Discussion,High,10.7,Yes
CM000196,SUP001,2025-02-01,Email,Emergency Supply Request,Low,1.5,Yes
CM000197,SUP004,2025-12-02,Email,Price Renegotiation,Normal,27.3,Yes
CM000198,SUP004,2023-03-08,Call,Contract Renewal Discussion,Normal,18.2,Yes
CM000199,SUP002,2024-09-06,Portal,Compliance Audit Follow-up,Normal,7.5,Yes
CM000200,SUP014,2023-06-02,Email,SLA Review Meeting,Normal,108.3,Yes
CM000201,SUP023,2023-07-10,Portal,Urgent Stock Request,Normal,11.2,Yes
CM000202,SUP025,2024-11-14,Email,Urgent Stock Request,Normal,8.9,Yes
CM000203,SUP027,2026-01-31,Portal,Quality Concern,High,26.8,Yes
CM000204,SUP010,2026-02-05,Call,Quality Concern,High,12.3,Yes
CM000205,SUP014,2023-07-10,Email,Delivery Status Update,Low,59.1,Yes
CM000206,SUP002,2025-08-18,Email,Quality Concern,Normal,28.4,Yes
CM000207,SUP003,2024-11-15,Call,Urgent Stock Request,High,3.3,Yes
CM000208,SUP024,2023-09-17,Portal,Emergency Supply Request,High,20.1,Yes
CM000209,SUP029,2024-07-13,Meeting,Emergency Supply Request,Normal,4.2,Yes
CM000210,SUP022,2025-03-06,Call,Invoice Discrepancy,Low,,No
CM000211,SUP014,2026-03-30,Email,Emergency Supply Request,High,,No
CM000212,SUP004,2025-04-10,Meeting,Compliance Audit Follow-up,Low,15.2,Yes
CM000213,SUP022,2024-05-24,Email,Contract Renewal Discussion,High,16.4,Yes
CM000214,SUP007,2024-07-20,Call,Payment Terms Discussion,Normal,96.3,Yes
CM000215,SUP015,2023-10-23,Call,Quality Concern,High,19.9,Yes
CM000216,SUP022,2024-07-17,Email,Payment Terms Discussion,Low,11.7,Yes
CM000217,SUP022,2024-05-12,Portal,New Order Requirements,Low,10.6,Yes
CM000218,SUP029,2023-05-03,Call,Contract Renewal Discussion,Normal,,No
CM000219,SUP005,2024-08-03,Email,Delivery Status Update,Normal,5.8,Yes
CM000220,SUP010,2024-04-04,Email,Compliance Audit Follow-up,High,18.0,Yes
CM000221,SUP016,2024-03-27,Email,Capacity Planning,Normal,15.9,Yes
CM000222,SUP017,2023-10-24,Meeting,Material Specification Change,Normal,32.1,Yes
CM000223,SUP010,2025-04-06,Email,Urgent Stock Request,Critical,16.8,Yes
CM000224,SUP008,2026-02-12,Call,Feedback on Last Shipment,Normal,20.5,Yes
CM000225,SUP005,2023-02-10,Call,Material Specification Change,Normal,13.3,Yes
CM000226,SUP024,2024-09-19,Email,Compliance Audit Follow-up,High,28.2,Yes
CM000227,SUP020,2026-03-03,Email,SLA Review Meeting,Normal,,No
CM000228,SUP011,2023-04-04,Email,Capacity Planning,Normal,16.4,Yes
CM000229,SUP001,2023-06-06,Portal,Contract Renewal Discussion,Normal,2.5,Yes
CM000230,SUP024,2023-05-29,Portal,Material Specification Change,Normal,19.8,Yes
CM000231,SUP004,2023-03-16,Portal,New Order Requirements,Low,21.7,Yes
CM000232,SUP007,2023-07-11,Email,Quality Concern,Low,125.5,Yes
CM000233,SUP008,2023-04-01,Email,Price Renegotiation,High,5.6,Yes
CM000234,SUP027,2024-03-19,Portal,Quality Concern,Low,26.1,Yes
CM000235,SUP014,2024-12-15,Meeting,Material Specification Change,High,,No
CM000236,SUP009,2024-01-30,Email,Compliance Audit Follow-up,Low,21.3,Yes
CM000237,SUP010,2025-08-01,Email,SLA Review Meeting,Normal,14.0,Yes
CM000238,SUP007,2025-01-20,Portal,Shipment Delay Notification,High,,No
CM000239,SUP013,2023-01-16,Email,Price Renegotiation,High,,No
CM000240,SUP004,2023-06-23,Email,Price Renegotiation,Normal,17.6,Yes
CM000241,SUP023,2025-12-01,Portal,Material Specification Change,Critical,,No
CM000242,SUP029,2024-11-06,Email,Urgent Stock Request,Normal,31.9,Yes
CM000243,SUP020,2025-06-30,Email,Contract Renewal Discussion,Critical,21.4,Yes
CM000244,SUP010,2025-02-08,Meeting,SLA Review Meeting,Critical,,No
CM000245,SUP004,2023-09-17,Email,Compliance Audit Follow-up,Normal,,No
CM000246,SUP018,2025-09-08,Call,Compliance Audit Follow-up,High,21.4,Yes
CM000247,SUP008,2023-09-16,Email,Emergency Supply Request,Normal,,No
CM000248,SUP008,2026-01-08,Email,Material Specification Change,Low,28.6,Yes
CM000249,SUP002,2025-05-25,Meeting,Price Renegotiation,High,24.8,Yes
CM000250,SUP020,2025-06-24,Meeting,Material Specification Change,Low,22.1,Yes
CM000251,SUP028,2024-11-22,Meeting,Capacity Planning,Low,6.3,Yes
CM000252,SUP001,2023-06-21,Meeting,Capacity Planning,Normal,3.0,Yes
CM000253,SUP026,2023-07-21,Portal,Payment Terms Discussion,Normal,30.9,Yes
CM000254,SUP024,2023-11-03,Email,Payment Terms Discussion,Low,,No
CM000255,SUP021,2024-08-16,Email,Quality Concern,Normal,108.2,Yes
CM000256,SUP017,2023-06-06,Meeting,Shipment Delay Notification,Normal,13.6,Yes
CM000257,SUP017,2025-06-09,Email,Delivery Status Update,Low,10.0,Yes
CM000258,SUP011,2023-07-01,Call,Material Specification Change,Low,7.2,Yes
CM000259,SUP026,2024-07-05,Portal,Invoice Discrepancy,High,38.9,Yes
CM000260,SUP013,2023-03-27,Email,SLA Review Meeting,Low,23.2,Yes
CM000261,SUP018,2025-07-31,Meeting,Delivery Status Update,High,46.8,Yes
CM000262,SUP017,2024-01-14,Email,Capacity Planning,Low,22.1,Yes
CM000263,SUP004,2026-02-12,Meeting,Shipment Delay Notification,Normal,21.3,Yes
CM000264,SUP016,2025-10-17,Email,Contract Renewal Discussion,Normal,11.8,Yes
CM000265,SUP009,2024-05-11,Email,Compliance Audit Follow-up,Normal,27.8,Yes
CM000266,SUP021,2024-09-21,Email,Contract Renewal Discussion,High,95.7,Yes
CM000267,SUP014,2024-03-14,Portal,Shipment Delay Notification,Low,,No
CM000268,SUP010,2025-03-09,Email,Capacity Planning,Normal,15.1,Yes
CM000269,SUP026,2024-04-14,Email,Material Specification Change,High,49.0,Yes
CM000270,SUP001,2023-06-23,Email,Capacity Planning,Normal,3.6,Yes
CM000271,SUP017,2023-02-16,Meeting,Invoice Discrepancy,Normal,27.4,Yes
CM000272,SUP009,2024-11-10,Email,Urgent Stock Request,High,14.0,Yes
CM000273,SUP022,2023-04-28,Email,Contract Renewal Discussion,Critical,24.4,Yes
CM000274,SUP027,2025-12-13,Email,Compliance Audit Follow-up,Low,38.9,Yes
CM000275,SUP003,2023-07-13,Call,SLA Review Meeting,High,2.9,Yes
CM000276,SUP007,2024-05-08,Call,Contract Renewal Discussion,Normal,,No
CM000277,SUP014,2023-03-13,Portal,Feedback on Last Shipment,High,140.1,Yes
CM000278,SUP004,2025-08-03,Portal,Capacity Planning,Normal,,No
CM000279,SUP029,2023-01-18,Email,Emergency Supply Request,Low,19.0,Yes
CM000280,SUP014,2023-08-18,Meeting,Material Specification Change,Critical,87.6,Yes
CM000281,SUP009,2024-08-03,Call,Compliance Audit Follow-up,Critical,,No
CM000282,SUP029,2024-03-13,Call,Invoice Discrepancy,Low,8.0,Yes
CM000283,SUP004,2025-12-13,Call,Quality Concern,Normal,16.3,Yes
CM000284,SUP027,2023-02-24,Meeting,New Order Requirements,Normal,6.5,Yes
CM000285,SUP020,2025-11-01,Email,Shipment Delay Notification,Normal,10.0,Yes
CM000286,SUP023,2024-08-25,Call,Compliance Audit Follow-up,Low,6.0,Yes
CM000287,SUP008,2025-10-05,Email,Capacity Planning,High,8.8,Yes
CM000288,SUP014,2023-02-06,Portal,Emergency Supply Request,Critical,72.8,Yes
CM000289,SUP003,2023-02-25,Call,Quality Concern,Normal,0.9,Yes
CM000290,SUP007,2024-06-04,Email,Emergency Supply Request,Normal,56.6,Yes
CM000291,SUP016,2025-05-19,Call,Price Renegotiation,Normal,,No
CM000292,SUP027,2024-06-24,Portal,Quality Concern,Normal,,No
CM000293,SUP001,2025-12-16,Meeting,Invoice Discrepancy,Normal,3.2,Yes
CM000294,SUP029,2025-12-18,Email,Contract Renewal Discussion,Normal,4.8,Yes
CM000295,SUP012,2025-07-13,Email,Emergency Supply Request,Low,26.6,Yes
CM000296,SUP026,2024-08-15,Email,Delivery Status Update,High,15.9,Yes
CM000297,SUP013,2026-03-19,Call,Capacity Planning,Normal,36.8,Yes
CM000298,SUP027,2026-02-05,Meeting,Compliance Audit Follow-up,High,33.8,Yes
CM000299,SUP029,2025-12-05,Call,Invoice Discrepancy,Normal,14.4,Yes
CM000300,SUP019,2023-07-30,Meeting,Feedback on Last Shipment,Normal,24.4,Yes
CM000301,SUP006,2024-01-25,Meeting,Capacity Planning,High,12.5,Yes
CM000302,SUP013,2026-02-28,Portal,New Order Requirements,Normal,14.3,Yes
CM000303,SUP021,2023-08-30,Email,Feedback on Last Shipment,Low,87.4,Yes
CM000304,SUP024,2024-04-12,Email,Payment Terms Discussion,High,,No
CM000305,SUP021,2024-05-14,Call,Payment Terms Discussion,High,166.1,Yes
CM000306,SUP029,2024-12-06,Portal,Quality Concern,Critical,,No
CM000307,SUP019,2025-06-08,Call,Emergency Supply Request,High,29.7,Yes
CM000308,SUP005,2025-06-08,Email,Material Specification Change,Normal,9.8,Yes
CM000309,SUP027,2024-03-19,Call,New Order Requirements,Low,40.8,Yes
CM000310,SUP026,2025-12-18,Email,Feedback on Last Shipment,High,7.8,Yes
CM000311,SUP018,2023-11-02,Meeting,Shipment Delay Notification,High,44.4,Yes
CM000312,SUP027,2023-12-03,Email,Delivery Status Update,High,32.7,Yes
CM000313,SUP013,2023-05-09,Email,Capacity Planning,Normal,4.6,Yes
CM000314,SUP020,2024-11-16,Meeting,Delivery Status Update,Low,23.2,Yes
CM000315,SUP009,2023-06-14,Call,Emergency Supply Request,High,11.5,Yes
CM000316,SUP021,2025-12-04,Call,SLA Review Meeting,Normal,64.6,Yes
CM000317,SUP009,2023-02-04,Email,Urgent Stock Request,Normal,25.5,Yes
CM000318,SUP005,2025-04-05,Email,Price Renegotiation,Normal,12.9,Yes
CM000319,SUP028,2025-10-04,Meeting,Feedback on Last Shipment,Normal,11.0,Yes
CM000320,SUP020,2023-05-17,Email,New Order Requirements,Critical,18.2,Yes
CM000321,SUP007,2024-02-20,Email,Price Renegotiation,Critical,71.4,Yes
CM000322,SUP013,2023-08-11,Portal,SLA Review Meeting,Low,21.8,Yes
CM000323,SUP004,2023-06-10,Email,Quality Concern,Normal,45.0,Yes
CM000324,SUP011,2023-09-29,Call,Invoice Discrepancy,Normal,25.5,Yes
CM000325,SUP018,2024-08-30,Call,Compliance Audit Follow-up,Critical,,No
CM000326,SUP011,2023-04-08,Email,Material Specification Change,Low,14.0,Yes
CM000327,SUP002,2024-04-29,Call,Emergency Supply Request,Low,4.8,Yes
CM000328,SUP015,2025-10-20,Email,Price Renegotiation,Low,33.7,Yes
CM000329,SUP029,2026-01-03,Email,Contract Renewal Discussion,Normal,,No
CM000330,SUP014,2023-12-18,Email,Emergency Supply Request,Normal,74.2,Yes
CM000331,SUP027,2024-04-19,Call,Feedback on Last Shipment,Low,32.0,Yes
CM000332,SUP014,2023-03-01,Call,SLA Review Meeting,Critical,119.4,Yes
CM000333,SUP014,2025-04-04,Portal,SLA Review Meeting,Normal,112.9,Yes
CM000334,SUP017,2023-10-28,Email,Capacity Planning,Low,9.0,Yes
CM000335,SUP006,2024-04-03,Email,Price Renegotiation,Low,27.7,Yes
CM000336,SUP025,2024-11-17,Email,Quality Concern,High,5.0,Yes
CM000337,SUP021,2023-12-23,Call,Invoice Discrepancy,Normal,,No
CM000338,SUP002,2026-02-15,Meeting,Shipment Delay Notification,Normal,27.4,Yes
CM000339,SUP028,2023-02-03,Email,Feedback on Last Shipment,Low,5.6,Yes
CM000340,SUP024,2024-04-15,Call,Compliance Audit Follow-up,Normal,16.0,Yes
