receipt_id,po_id,supplier_id,supplier_name,received_date,defect_rate_pct,fulfillment_ratio,delivery_delay_days,anomaly_score,is_anomaly
GR000085,PO000087,SUP025,SafetyFirst Supplies,2023-08-16,7.09,0.8573,1,-0.0504,0
GR000086,PO000088,SUP012,StretchGuard Packaging,2023-08-19,5.95,1.0,7,-0.1805,0
GR000087,PO000089,SUP017,MicroPulse Systems,2023-09-01,4.18,1.0,6,-0.1842,0
GR000088,PO000090,SUP013,CircuitVault Electronics,2023-08-24,7.08,1.0,-1,-0.2589,0
GR000089,PO000092,SUP026,ToolMaster Hardware,2023-08-21,2.77,1.0,0,-0.2597,0
GR000090,PO000093,SUP008,WrapMaster Inc,2023-08-23,2.25,1.0,0,-0.2346,0
GR000091,PO000094,SUP019,SwiftFreight Logistics,2023-08-17,3.08,1.0,-2,-0.1622,0
GR000092,PO000095,SUP019,SwiftFreight Logistics,2023-08-21,1.26,1.0,0,-0.0588,0
GR000093,PO000096,SUP011,PalletPro Logistics,2023-08-25,1.59,1.0,-3,-0.2173,0
GR000094,PO000097,SUP023,CrossDock Systems,2023-08-24,5.43,1.0,-3,-0.1532,0
GR000095,PO000098,SUP023,CrossDock Systems,2023-08-27,2.71,1.0,-3,-0.1427,0
GR000096,PO000099,SUP010,FoamSeal Corp,2023-09-02,9.26,0.8275,3,-0.0139,0
GR000097,PO000100,SUP009,BoxWorks International,2023-08-29,7.84,1.0,0,-0.2479,0
GR000098,PO000101,SUP019,SwiftFreight Logistics,2023-08-30,1.55,1.0,-3,-0.1286,0
GR000099,PO000102,SUP016,ConnectX Components,2023-09-27,1.16,1.0,5,-0.1513,0
GR000100,PO000103,SUP013,CircuitVault Electronics,2023-09-20,6.2,1.0,-1,-0.2618,0
GR000101,PO000104,SUP001,SteelCraft Industries,2023-09-22,1.99,1.0,0,-0.2441,0
GR000102,PO000105,SUP025,SafetyFirst Supplies,2023-09-16,6.56,1.0,-1,-0.2642,0
GR000103,PO000106,SUP027,LubeWorks Industrial,2023-09-16,6.33,1.0,-2,-0.2536,0
GR000104,PO000107,SUP002,CopperPoint Metals,2023-10-03,5.7,1.0,7,-0.1616,0
GR000105,PO000108,SUP026,ToolMaster Hardware,2023-09-16,3.85,1.0,-3,-0.2346,0
GR000106,PO000109,SUP028,SpareMax Components,2023-09-23,4.24,1.0,0,-0.2639,0
GR000107,PO000110,SUP027,LubeWorks Industrial,2023-09-21,1.13,1.0,-3,-0.2045,0
GR000108,PO000111,SUP004,RubberKing Compounds,2023-09-28,3.01,1.0,2,-0.22,0
GR000109,PO000112,SUP018,SiliconBridge Inc,2023-09-29,5.44,1.0,-2,-0.259,0
GR000110,PO000113,SUP022,ColdChain Solutions,2023-09-29,1.09,1.0,0,-0.1597,0
GR000111,PO000114,SUP016,ConnectX Components,2023-10-09,4.11,1.0,-2,-0.2583,0
GR000112,PO000115,SUP019,SwiftFreight Logistics,2023-10-09,2.19,1.0,-3,-0.0959,0
GR000113,PO000116,SUP019,SwiftFreight Logistics,2023-10-19,6.97,1.0,4,-0.1351,0
GR000114,PO000117,SUP005,PlastiFlow Materials,2023-10-19,6.24,0.9469,0,-0.1304,0
GR000115,PO000118,SUP026,ToolMaster Hardware,2023-10-28,4.16,1.0,-2,-0.2562,0
GR000116,PO000119,SUP013,CircuitVault Electronics,2023-11-15,2.17,1.0,0,-0.2431,0
GR000117,PO000120,SUP011,PalletPro Logistics,2023-10-31,6.35,1.0,-3,-0.2389,0
GR000118,PO000121,SUP025,SafetyFirst Supplies,2023-11-06,3.63,1.0,-2,-0.2571,0
GR000119,PO000122,SUP023,CrossDock Systems,2023-11-10,6.95,1.0,0,-0.203,0
GR000120,PO000123,SUP010,FoamSeal Corp,2023-11-13,9.85,1.0,2,-0.1757,0
GR000121,PO000124,SUP020,WareHouse Pro,2023-11-07,7.89,1.0,0,-0.1591,0
GR000122,PO000125,SUP001,SteelCraft Industries,2023-11-17,0.89,1.0,-2,-0.2128,0
GR000123,PO000126,SUP007,PackRight Solutions,2023-11-17,22.36,1.0,4,-0.091,0
GR000124,PO000127,SUP019,SwiftFreight Logistics,2023-11-13,4.46,1.0,-1,-0.1804,0
GR000125,PO000128,SUP022,ColdChain Solutions,2023-11-13,7.11,1.0,0,-0.1972,0
GR000126,PO000129,SUP016,ConnectX Components,2023-11-27,6.34,1.0,-3,-0.2389,0
GR000127,PO000130,SUP011,PalletPro Logistics,2023-11-19,5.57,1.0,0,-0.2619,0
GR000128,PO000131,SUP018,SiliconBridge Inc,2023-12-07,1.97,1.0,-1,-0.2473,0
GR000129,PO000132,SUP003,AlumTech Global,2023-11-27,1.24,1.0,-1,-0.2428,0
GR000130,PO000133,SUP008,WrapMaster Inc,2023-11-25,3.28,1.0,2,-0.2218,0
GR000131,PO000134,SUP014,ChipNova Technologies,2023-12-18,26.21,1.0,6,-0.0769,0
GR000132,PO000135,SUP010,FoamSeal Corp,2023-12-02,8.65,1.0,4,-0.171,0
GR000133,PO000136,SUP011,PalletPro Logistics,2023-11-24,2.68,1.0,-2,-0.2538,0
GR000134,PO000137,SUP015,SensorDynamics GmbH,2023-12-08,1.45,1.0,-2,-0.2343,0
GR000135,PO000138,SUP029,FilterTech Solutions,2023-12-10,4.21,1.0,-1,-0.247,0
GR000136,PO000139,SUP004,RubberKing Compounds,2024-01-05,6.58,1.0,6,-0.1852,0
GR000137,PO000140,SUP001,SteelCraft Industries,2024-01-02,1.69,1.0,0,-0.2383,0
GR000138,PO000141,SUP001,SteelCraft Industries,2024-01-03,1.93,1.0,-3,-0.2167,0
GR000139,PO000142,SUP015,SensorDynamics GmbH,2024-01-14,3.84,1.0,-1,-0.2588,0
GR000140,PO000143,SUP021,LastMile Express,2024-01-18,23.01,1.0,14,0.0217,1
GR000141,PO000144,SUP027,LubeWorks Industrial,2024-01-04,4.74,1.0,-1,-0.2606,0
GR000142,PO000145,SUP023,CrossDock Systems,2024-01-04,1.42,1.0,-3,-0.133,0
GR000143,PO000146,SUP030,WeldRight Corp,2024-01-19,6.02,1.0,-2,-0.2593,0
GR000144,PO000147,SUP013,CircuitVault Electronics,2024-02-01,6.93,1.0,-1,-0.2634,0
GR000145,PO000148,SUP023,CrossDock Systems,2024-01-25,5.6,1.0,3,-0.15,0
GR000146,PO000149,SUP002,CopperPoint Metals,2024-01-29,3.31,1.0,-1,-0.2469,0
GR000147,PO000150,SUP024,CustomsClear Agency,2024-01-25,4.44,1.0,-3,-0.0958,0
GR000148,PO000151,SUP027,LubeWorks Industrial,2024-02-01,4.11,1.0,-3,-0.2375,0
GR000149,PO000152,SUP002,CopperPoint Metals,2024-02-07,1.25,1.0,-2,-0.2356,0
GR000150,PO000153,SUP016,ConnectX Components,2024-02-20,1.18,1.0,-2,-0.2327,0
GR000151,PO000154,SUP012,StretchGuard Packaging,2024-02-14,3.04,1.0,2,-0.2255,0
GR000152,PO000155,SUP013,CircuitVault Electronics,2024-03-08,4.33,1.0,1,-0.2428,0
GR000153,PO000156,SUP021,LastMile Express,2024-02-19,26.34,1.0,4,0.0306,1
GR000154,PO000157,SUP006,CarbonEdge Ltd,2024-02-22,2.6,1.0,1,-0.2247,0
GR000155,PO000158,SUP023,CrossDock Systems,2024-02-22,1.08,1.0,-2,-0.1475,0
GR000156,PO000159,SUP021,LastMile Express,2024-03-09,29.95,1.0,5,0.032,1
GR000157,PO000160,SUP010,FoamSeal Corp,2024-03-15,7.97,1.0,0,-0.2454,0
GR000158,PO000161,SUP028,SpareMax Components,2024-03-22,7.06,1.0,8,-0.1579,0
GR000159,PO000162,SUP015,SensorDynamics GmbH,2024-03-22,7.28,1.0,-2,-0.2529,0
GR000160,PO000163,SUP029,FilterTech Solutions,2024-03-15,2.57,1.0,-3,-0.2071,0
GR000161,PO000164,SUP025,SafetyFirst Supplies,2024-03-23,3.5,1.0,0,-0.2605,0
GR000162,PO000165,SUP022,ColdChain Solutions,2024-03-24,6.92,1.0,-2,-0.1755,0
GR000163,PO000166,SUP012,StretchGuard Packaging,2024-03-27,1.23,1.0,-3,-0.2102,0
GR000164,PO000167,SUP012,StretchGuard Packaging,2024-04-10,4.55,1.0,2,-0.23,0
GR000165,PO000168,SUP017,MicroPulse Systems,2024-04-20,4.76,1.0,0,-0.2632,0
GR000166,PO000169,SUP008,WrapMaster Inc,2024-04-06,2.74,0.8902,-3,-0.0724,0
GR000167,PO000170,SUP028,SpareMax Components,2024-04-11,6.02,1.0,-1,-0.2661,0
GR000168,PO000171,SUP004,RubberKing Compounds,2024-04-19,1.64,1.0,0,-0.2319,0
GR000169,PO000172,SUP029,FilterTech Solutions,2024-04-24,1.93,1.0,0,-0.2257,0
GR000170,PO000173,SUP010,FoamSeal Corp,2024-04-27,6.86,1.0,4,-0.1977,0
GR000171,PO000174,SUP021,LastMile Express,2024-05-08,24.44,1.0,14,0.0479,1
GR000172,PO000175,SUP025,SafetyFirst Supplies,2024-05-08,4.09,1.0,7,-0.1739,0
GR000173,PO000176,SUP021,LastMile Express,2024-04-27,20.58,1.0,0,-0.0479,0
GR000174,PO000177,SUP025,SafetyFirst Supplies,2024-04-29,7.33,1.0,0,-0.2569,0
GR000175,PO000178,SUP009,BoxWorks International,2024-05-03,5.44,1.0,0,-0.2598,0
GR000176,PO000179,SUP009,BoxWorks International,2024-05-01,4.45,1.0,-3,-0.2307,0
GR000177,PO000180,SUP022,ColdChain Solutions,2024-05-02,2.99,1.0,-2,-0.1793,0
GR000178,PO000181,SUP003,AlumTech Global,2024-05-08,0.57,1.0,-2,-0.2039,0
GR000179,PO000182,SUP007,PackRight Solutions,2024-05-24,25.51,0.8454,13,0.0166,1
GR000180,PO000183,SUP016,ConnectX Components,2024-05-18,7.82,1.0,-3,-0.2157,0
GR000181,PO000184,SUP004,RubberKing Compounds,2024-05-15,4.02,1.0,-1,-0.2551,0
GR000182,PO000185,SUP016,ConnectX Components,2024-05-29,5.81,1.0,-1,-0.2662,0
GR000183,PO000186,SUP005,PlastiFlow Materials,2024-05-22,4.51,1.0,3,-0.2204,0
GR000184,PO000187,SUP002,CopperPoint Metals,2024-05-17,3.1,1.0,-1,-0.2517,0
GR000185,PO000188,SUP025,SafetyFirst Supplies,2024-05-17,3.27,1.0,0,-0.2554,0
GR000186,PO000189,SUP003,AlumTech Global,2024-05-20,1.26,1.0,-2,-0.2362,0
GR000187,PO000190,SUP024,CustomsClear Agency,2024-05-14,7.87,1.0,-1,-0.1309,0
GR000188,PO000191,SUP008,WrapMaster Inc,2024-05-23,2.84,1.0,-1,-0.2586,0
GR000189,PO000192,SUP019,SwiftFreight Logistics,2024-05-18,6.09,1.0,1,-0.1601,0
GR000190,PO000193,SUP001,SteelCraft Industries,2024-05-30,0.85,1.0,-1,-0.2217,0
GR000191,PO000194,SUP014,ChipNova Technologies,2024-06-14,22.85,1.0,9,-0.0578,0
GR000192,PO000195,SUP028,SpareMax Components,2024-06-01,1.14,1.0,8,-0.1305,0
GR000193,PO000196,SUP024,CustomsClear Agency,2024-05-27,6.02,1.0,8,-0.0861,0
GR000194,PO000197,SUP006,CarbonEdge Ltd,2024-06-06,3.68,0.9099,-1,-0.129,0
GR000195,PO000198,SUP016,ConnectX Components,2024-06-16,5.32,1.0,0,-0.263,0
GR000196,PO000199,SUP008,WrapMaster Inc,2024-05-31,3.28,1.0,0,-0.2525,0
GR000197,PO000200,SUP002,CopperPoint Metals,2024-06-14,7.63,1.0,1,-0.2176,0
GR000198,PO000201,SUP016,ConnectX Components,2024-06-19,7.91,1.0,0,-0.2501,0
GR000199,PO000202,SUP025,SafetyFirst Supplies,2024-06-19,3.4,1.0,-2,-0.2565,0
GR000200,PO000203,SUP004,RubberKing Compounds,2024-06-16,1.78,1.0,-2,-0.2419,0
GR000201,PO000204,SUP008,WrapMaster Inc,2024-06-23,6.43,1.0,0,-0.2613,0
GR000202,PO000205,SUP024,CustomsClear Agency,2024-06-29,2.4,1.0,6,-0.0961,0
GR000203,PO000206,SUP022,ColdChain Solutions,2024-06-25,4.83,1.0,-3,-0.1547,0
GR000204,PO000207,SUP025,SafetyFirst Supplies,2024-06-26,3.04,1.0,-1,-0.2588,0
GR000205,PO000208,SUP029,FilterTech Solutions,2024-07-07,5.89,1.0,-1,-0.24,0
GR000206,PO000209,SUP008,WrapMaster Inc,2024-07-07,2.5,1.0,0,-0.247,0
GR000207,PO000210,SUP030,WeldRight Corp,2024-07-02,3.33,0.9441,-1,-0.1445,0
GR000208,PO000211,SUP011,PalletPro Logistics,2024-07-05,7.53,1.0,0,-0.2546,0
GR000209,PO000212,SUP018,SiliconBridge Inc,2024-07-23,6.64,1.0,0,-0.2595,0
GR000210,PO000213,SUP004,RubberKing Compounds,2024-07-20,4.96,1.0,-2,-0.2616,0
GR000211,PO000214,SUP005,PlastiFlow Materials,2024-07-21,4.44,1.0,5,-0.1957,0
GR000212,PO000215,SUP018,SiliconBridge Inc,2024-07-22,4.96,1.0,1,-0.2441,0
GR000213,PO000216,SUP003,AlumTech Global,2024-07-23,1.08,1.0,-1,-0.2373,0
GR000214,PO000217,SUP017,MicroPulse Systems,2024-08-02,5.27,1.0,-2,-0.2592,0
GR000215,PO000218,SUP026,ToolMaster Hardware,2024-07-20,4.26,1.0,-1,-0.2675,0
GR000216,PO000219,SUP014,ChipNova Technologies,2024-08-05,25.77,1.0,-3,-0.0403,0
GR000217,PO000220,SUP030,WeldRight Corp,2024-07-26,3.06,0.9233,-2,-0.12,0
GR000218,PO000221,SUP005,PlastiFlow Materials,2024-08-07,3.26,1.0,8,-0.1532,0
GR000219,PO000222,SUP023,CrossDock Systems,2024-07-22,6.37,1.0,-3,-0.1676,0
GR000220,PO000223,SUP023,CrossDock Systems,2024-07-22,5.02,1.0,-1,-0.1864,0
GR000221,PO000224,SUP017,MicroPulse Systems,2024-08-13,2.44,1.0,-1,-0.2529,0
GR000222,PO000225,SUP015,SensorDynamics GmbH,2024-08-11,7.61,1.0,8,-0.1589,0
GR000223,PO000226,SUP003,AlumTech Global,2024-08-10,0.72,1.0,0,-0.2207,0
GR000224,PO000227,SUP025,SafetyFirst Supplies,2024-08-08,2.41,0.8631,4,-0.0502,0
GR000225,PO000228,SUP001,SteelCraft Industries,2024-08-04,1.85,1.0,-2,-0.2412,0
GR000226,PO000229,SUP020,WareHouse Pro,2024-08-02,7.29,1.0,5,-0.1154,0
GR000227,PO000230,SUP020,WareHouse Pro,2024-07-27,6.21,1.0,-2,-0.1643,0
GR000228,PO000231,SUP017,MicroPulse Systems,2024-08-14,3.79,1.0,-1,-0.2585,0
GR000229,PO000232,SUP020,WareHouse Pro,2024-08-07,1.65,1.0,-3,-0.1387,0
GR000230,PO000233,SUP014,ChipNova Technologies,2024-08-27,26.69,0.7538,3,0.0454,1
GR000231,PO000234,SUP027,LubeWorks Industrial,2024-08-15,6.18,1.0,-2,-0.2534,0
GR000232,PO000235,SUP019,SwiftFreight Logistics,2024-08-04,1.64,0.8052,-3,0.058,1
GR000233,PO000236,SUP006,CarbonEdge Ltd,2024-08-20,4.56,1.0,0,-0.255,0
GR000234,PO000237,SUP025,SafetyFirst Supplies,2024-08-17,3.94,1.0,-1,-0.2637,0
GR000235,PO000238,SUP007,PackRight Solutions,2024-09-02,28.04,0.8434,12,0.0339,1
GR000236,PO000239,SUP021,LastMile Express,2024-08-28,27.72,1.0,12,0.0253,1
GR000237,PO000240,SUP019,SwiftFreight Logistics,2024-08-12,6.93,1.0,-3,-0.1589,0
GR000238,PO000241,SUP020,WareHouse Pro,2024-08-26,1.98,1.0,-3,-0.1352,0
GR000239,PO000242,SUP016,ConnectX Components,2024-09-09,6.62,1.0,-1,-0.2642,0
GR000240,PO000243,SUP010,FoamSeal Corp,2024-09-05,6.33,1.0,-3,-0.2305,0
GR000241,PO000244,SUP013,CircuitVault Electronics,2024-09-20,7.76,1.0,0,-0.2521,0
GR000242,PO000245,SUP027,LubeWorks Industrial,2024-09-05,1.21,1.0,0,-0.234,0
GR000243,PO000246,SUP025,SafetyFirst Supplies,2024-09-06,3.61,1.0,-3,-0.2368,0
GR000244,PO000247,SUP028,SpareMax Components,2024-09-10,1.18,1.0,-3,-0.209,0
GR000245,PO000248,SUP013,CircuitVault Electronics,2024-09-29,7.1,1.0,8,-0.1587,0
GR000246,PO000249,SUP022,ColdChain Solutions,2024-09-20,6.06,1.0,7,-0.0938,0
GR000247,PO000250,SUP020,WareHouse Pro,2024-09-18,2.56,1.0,5,-0.1201,0
GR000248,PO000252,SUP015,SensorDynamics GmbH,2024-09-30,4.25,1.0,-2,-0.2594,0
GR000249,PO000253,SUP026,ToolMaster Hardware,2024-09-15,5.22,1.0,-2,-0.2583,0
GR000250,PO000254,SUP026,ToolMaster Hardware,2024-09-21,7.32,1.0,-1,-0.2606,0
GR000251,PO000255,SUP007,PackRight Solutions,2024-10-07,25.36,1.0,16,-0.0072,0
GR000252,PO000256,SUP001,SteelCraft Industries,2024-09-27,1.72,1.0,-3,-0.2167,0
GR000253,PO000257,SUP015,SensorDynamics GmbH,2024-10-05,1.91,1.0,-2,-0.2401,0
GR000254,PO000258,SUP008,WrapMaster Inc,2024-09-19,6.2,1.0,-1,-0.2618,0
GR000255,PO000259,SUP029,FilterTech Solutions,2024-09-23,2.58,1.0,0,-0.2314,0
GR000256,PO000260,SUP009,BoxWorks International,2024-10-05,4.24,1.0,5,-0.1954,0
GR000257,PO000261,SUP025,SafetyFirst Supplies,2024-10-06,7.19,1.0,-3,-0.235,0
GR000258,PO000262,SUP028,SpareMax Components,2024-10-09,5.06,1.0,-2,-0.2611,0
GR000259,PO000263,SUP018,SiliconBridge Inc,2024-11-02,7.86,1.0,8,-0.155,0
GR000260,PO000264,SUP024,CustomsClear Agency,2024-10-11,2.66,1.0,0,-0.1248,0
GR000261,PO000265,SUP013,CircuitVault Electronics,2024-10-16,4.39,1.0,0,-0.2621,0
GR000262,PO000266,SUP008,WrapMaster Inc,2024-10-07,7.95,1.0,-3,-0.2175,0
GR000263,PO000267,SUP011,PalletPro Logistics,2024-10-09,6.21,1.0,-1,-0.2587,0
GR000264,PO000268,SUP015,SensorDynamics GmbH,2024-10-17,2.3,1.0,-2,-0.2478,0
GR000265,PO000269,SUP014,ChipNova Technologies,2024-11-07,19.16,1.0,3,-0.1064,0
GR000266,PO000270,SUP018,SiliconBridge Inc,2024-11-03,3.99,1.0,-3,-0.239,0
GR000267,PO000271,SUP016,ConnectX Components,2024-11-05,7.83,1.0,0,-0.2494,0
GR000268,PO000272,SUP003,AlumTech Global,2024-11-03,0.76,1.0,-3,-0.2015,0
GR000269,PO000273,SUP019,SwiftFreight Logistics,2024-11-02,7.58,1.0,3,-0.1452,0
GR000270,PO000274,SUP004,RubberKing Compounds,2024-11-18,6.88,1.0,-1,-0.2638,0
GR000271,PO000275,SUP019,SwiftFreight Logistics,2024-11-10,6.46,1.0,0,-0.1983,0
GR000272,PO000276,SUP014,ChipNova Technologies,2024-12-06,22.35,1.0,12,-0.0451,0
GR000273,PO000277,SUP006,CarbonEdge Ltd,2024-11-27,5.76,1.0,-2,-0.2456,0
GR000274,PO000278,SUP014,ChipNova Technologies,2024-12-29,29.46,1.0,14,0.0051,1
